PRO-CTCAE System ID, EQ5D, term_eng, term_spanish, value_eng, value_spanish
10082, EQ5D-3L,'MOBILITY', 'MOVILIDAD','I have no problems in walking about', 'No tengo problemas para caminar sobre'
10082, EQ5D-3L,'MOBILITY', 'MOVILIDAD','I have some problems in walking about', 'Tengo algunos problemas para caminar sobre'
10082, EQ5D-3L,'MOBILITY', 'MOVILIDAD','I am confined to bed', 'Estoy confinado a la cama'
10083, EQ5D-3L,'SELF-CARE', 'CUIDADO PERSONAL','I have no problems with self-care', 'No tengo problemas con el cuidado personal'
10083, EQ5D-3L,'SELF-CARE', 'CUIDADO PERSONAL','I have some problems washing or dressing myself', 'He lavado de algunos problemas o vestirme solo'
10083, EQ5D-3L,'SELF-CARE', 'CUIDADO PERSONAL','I am unable to wash or dress myself', 'Soy incapaz de lavar o vestirme'
10084, EQ5D-3L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have no problems with performing my usual activities', 'No tengo problemas para realizar mis actividades habituales'
10084, EQ5D-3L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have some problems with performing my usual activities', 'Tengo algunos problemas para realizar mis actividades habituales'
10084, EQ5D-3L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I am unable to perform my usual activities', 'No puedo realizar mis actividades habituales'
10085, EQ5D-3L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have no pain or discomfort', 'No tengo dolor ni malestar'
10085, EQ5D-3L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have moderate pain or discomfort', 'Tengo dolor o malestar moderado'
10085, EQ5D-3L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have extreme pain or discomfort', 'Tengo dolor o malestar extremo'
10086, EQ5D-3L,'ANXIETY/DEPRESSION', 'ANSIEDAD/DEPRESIÓN','I am not anxious or depressed', 'No estoy ansioso/a ni deprimido/a'
10086, EQ5D-3L,'ANXIETY/DEPRESSION', 'ANSIEDAD/DEPRESIÓN','I am moderately anxious or depressed', 'Estoy moderadamente ansioso/a o deprimido/a'
10086, EQ5D-3L,'ANXIETY/DEPRESSION', 'ANSIEDAD/DEPRESIÓN','I am extremely anxious or depressed', 'Estoy extremadamente ansioso/a o deprimido/a'
10087, EQ5D-5L,'MOBILITY', 'MOVILIDAD','I have no problems in walking about', 'No tengo problemas para caminar sobre'
10087, EQ5D-5L,'MOBILITY', 'MOVILIDAD','I have slight problems walking', 'Tengo problemas leves para caminar'
10087, EQ5D-5L,'MOBILITY', 'MOVILIDAD','I have moderate problems walking', 'Tengo problemas moderados para caminar'
10087, EQ5D-5L,'MOBILITY', 'MOVILIDAD','I have severe problems walking', 'Tengo problemas graves para caminar'
10087, EQ5D-5L,'MOBILITY', 'MOVILIDAD','I am unable to walk', 'No puedo caminar'
10088, EQ5D-5L,'SELF-CARE', 'CUIDADO PERSONAL','I have no problems washing or dressing myself', 'No tengo problemas para lavarme o vestirme solo/a'
10088, EQ5D-5L,'SELF-CARE', 'CUIDADO PERSONAL','I have slight problems washing or dressing myself', 'Tengo problemas leves para lavarme o vestirme solo/a'
10088, EQ5D-5L,'SELF-CARE', 'CUIDADO PERSONAL','I have moderate problems washing or dressing myself', 'Tengo problemas moderados para lavarme o vestirme solo/a'
10088, EQ5D-5L,'SELF-CARE', 'CUIDADO PERSONAL','I have severe problems washing or dressing myself', 'Tengo problemas graves para lavarme o vestirme solo/a'
10088, EQ5D-5L,'SELF-CARE', 'CUIDADO PERSONAL','I am unable to wash or dress myself', 'No puedo lavarme o vestirme solo/a'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have no problems doing my usual activities', 'No tengo problemas para realizar mis actividades de todos los días'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have slight problems doing my usual activities', 'Tengo problemas leves para realizar mis actividades de todos los días'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have moderate problems doing my usual activities', 'Tengo problemas moderados para realizar mis actividades de todos los días'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have severe problems doing my usual activities', 'Tengo problemas graves para realizar mis actividades de todos los días'
10091, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I am unable to do my usual activities', 'No puedo realizar mis actividades de todos los días'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have no pain or discomfort', 'No tengo dolor ni malestar'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have slight pain or discomfort', 'Tengo dolor o malestar leve'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have moderate pain or discomfort', 'Tengo dolor o malestar moderado'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have severe pain or discomfort', 'Tengo dolor o malestar intenso'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have extreme pain or discomfort', 'Tengo dolor o malestar extremo'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am not anxious or depressed', 'No estoy ansioso/a ni deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am slightly anxious or depressed', 'Estoy levemente ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am moderately anxious or depressed', 'Estoy moderadamente ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am severely anxious or depressed', 'Estoy muy ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am extremely anxious or depressed', 'Estoy extremadamente ansioso/a o deprimido/a'